Ticker,Date,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
ONGC.NS,2026-07-22,Energy,251.0,252.77999877929688,250.1300048828125,251.89999389648438,10905903,0.008,0.9,0.36,242.87849884033204,257.6713983154297,256.02160316467285,247.20139236954878,248.28641981349153,-0.8525474363540866,-2.937381758233769,2.0848343218796823,26.17011932327281,56.54306072983056,94.65042525186283,89.99151701079164,-5.349574748137175,255.4378012111733,242.87849884033204,230.31919646949078,10.342045451374213,4.4994787685418345,447380815,15421038.05,-1,Weak Sell,Neutral
POWERGRID.NS,2026-07-22,Power,285.6499938964844,289.75,284.3999938964844,289.29998779296875,4595854,0.0091,3.65,1.28,284.98500061035156,288.8789990234375,284.4989250946045,285.86151275776217,286.49136948891595,-0.9155087503606296,-1.8007976637775724,0.8852889134169428,12.449951103696993,54.370234266456556,79.38922939656759,71.246863796152,-20.61077060343241,290.5019794832596,284.98500061035156,279.4680217374435,3.8717678903046524,5.138726123335395,40909120,8664615.0,3,Strong Buy,Neutral
RELIANCE.NS,2026-07-22,Energy,1302.0,1304.5999755859375,1280.699951171875,1288.5999755859375,10836226,-0.0116,-13.4,-1.03,1303.2200012207031,1311.5485864257812,1407.6428015136719,1304.3073708703544,1306.1492311345744,-3.045521834428655,-4.2192296793502075,1.1737078449215526,13.077144739715669,44.43668530507012,22.880200306900665,45.13230573089345,-77.11979969309934,1330.2746359648002,1303.2200012207031,1276.165366476606,4.151967391346885,23.582871101935716,-290185387,12208061.6,-1,Weak Sell,Neutral
SBILIFE.NS,2026-07-22,Insurance,1813.0,1833.0,1797.0,1806.699951171875,484500,-0.0116,-6.3,-0.35,1807.0850036621093,1809.4999926757812,1918.8345849609375,1815.5611034019425,1813.0903393410758,8.926787752487144,8.502016254908686,0.4247714975784582,21.91578234067513,48.719396649486605,31.319664329254113,45.6920092195129,-68.68033567074589,1879.6999558826396,1807.0850036621093,1734.470051441579,8.036694684906802,36.98199949833066,-978700,979540.05,-1,Weak Sell,Neutral
SBIN.NS,2026-07-22,Banking,1044.4000244140625,1044.4000244140625,1019.2000122070312,1025.0,11221647,-0.0186,-19.4,-1.86,1036.55,1006.3589990234375,1006.7796469116211,1032.8200147027221,1030.2217382270896,5.690615466801546,6.700392923368216,-1.0097774565666695,10.652154191604321,48.33285626831655,24.460398485097976,58.16152669154167,-75.53960151490203,1059.0346201342513,1036.55,1014.0653798657486,4.338357075732261,20.18520726329287,385533298,10723462.6,1,Weak Buy,Neutral
SUNPHARMA.NS,2026-07-22,Pharma,1938.0,1951.800048828125,1925.199951171875,1943.0,1718430,-0.0096,5.0,0.26,1910.1872192382812,1859.27857421875,1755.8987115478515,1913.6517716904025,1901.4577205188546,31.156969096797184,29.91200791797157,1.244961178825612,35.73484837800694,62.246680895053025,76.45110443232362,88.7069431270304,-23.54889556767638,1983.86040994331,1910.1872192382812,1836.5140285332523,7.713714128441013,30.384981704604463,53858018,1902573.25,3,Strong Buy,Neutral
TATACONSUM.NS,2026-07-22,FMCG,1074.199951171875,1099.4000244140625,1071.0999755859375,1094.9000244140625,1519520,0.0124,20.7,1.93,1102.2100036621093,1131.62765625,1135.6215219116211,1100.9880877419141,1105.1646529022194,-9.870821478391463,-9.937797023010969,0.06697554461950617,23.655408959865206,46.016176545855444,40.407536439734805,28.860893319380427,-59.592463560265195,1134.4107594141183,1102.2100036621093,1070.0092479101004,5.842943839199689,22.505129194450983,49710865,1610127.45,-1,Weak Sell,Neutral
TATASTEEL.NS,2026-07-22,Steel,187.99000549316406,187.99000549316406,184.91000366210938,186.52999877929688,16626802,-0.0038,-1.46,-0.78,187.89250106811522,196.69652069091796,187.8925186920166,189.00035919071593,190.2355374342738,-2.7606450816847996,-3.107211227922393,0.3465661462375933,21.784338064191555,40.61579714463243,31.546969764761606,33.535549586438954,-68.45303023523839,191.37560300387676,187.89250106811522,184.40939913235368,3.7075475774297524,3.541859792282985,605558851,24370294.5,-1,Weak Sell,Neutral
TCS.NS,2026-07-22,IT,2216.0,2226.800048828125,2201.0,2208.300048828125,1599529,-0.0058,-7.7,-0.35,2117.770428466797,2173.366828613281,2641.943677368164,2159.428592071246,2158.474358639546,19.477081113086115,-3.0435386978780627,22.520619810964178,18.527333428902637,55.814599601641774,73.02382390300403,80.49934890104346,-26.976176096995978,2284.868762549561,2117.770428466797,1950.6720943840332,15.78058998620904,57.960826466088484,-113743318,4779475.15,1,Weak Buy,Neutral
TECHM.NS,2026-07-22,IT,1574.0999755859375,1574.0999755859375,1551.5999755859375,1560.5999755859375,975738,-0.01,-13.5,-0.86,1456.950018310547,1432.7731079101563,1452.3635272216798,1484.3056812120335,1471.4384810281485,41.12550230489887,25.781664227262638,15.343838077636235,20.035196931827812,65.76034553311136,75.84972902680579,83.65056317403105,-24.150270973194207,1602.7466340396695,1456.950018310547,1311.1534025814244,20.01394885161341,44.7792692766606,42537835,2626841.75,3,Strong Buy,Neutral
TITAN.NS,2026-07-22,Consumer,4685.7001953125,4733.0,4675.0,4711.60009765625,996338,0.0049,25.9,0.55,4516.859033203125,4308.610258789063,4100.432280273438,4536.690501144511,4496.9235640766765,104.83777933129295,95.5694885673425,9.268290763950446,35.24118337625127,73.74204278911957,92.80806086794186,93.39208297797292,-7.191939132058139,4785.659179038938,4516.859033203125,4248.058887367312,11.902082569320022,77.36298954634393,13675409,908684.05,1,Weak Buy,Overbought
ULTRACEMCO.NS,2026-07-22,Cement,12081.0,12172.0,11856.0,11893.0,283726,-0.0166,-188.0,-1.56,11622.35,11446.16,11811.065,11661.134096563703,11617.502996516698,136.19079920719378,95.28082576990505,40.90997343728873,11.984364174149897,57.924162883320484,68.43891402714932,83.62518591413334,-31.56108597285068,12035.535321617352,11622.35,11209.164678382649,7.1101854894638565,223.5564407700437,-2787013,259190.4,3,Strong Buy,Neutral
UPL.NS,2026-07-22,Agrochemicals,618.1500244140625,620.5499877929688,606.6500244140625,608.8499755859375,725601,-0.015,-9.3,-1.5,590.8314819335938,609.6519409179688,673.4212335205078,599.8398140568526,600.451497587932,1.65063454570236,-2.9876171362191775,4.638251681921537,19.958904756351217,53.51220529373463,70.58144614036547,77.1317386771491,-29.418553859634535,625.6580267716383,590.8314819335938,556.0049370955492,11.788994291255081,16.08500723479471,-75597,2745211.1,-1,Weak Sell,Neutral
WIPRO.NS,2026-07-22,IT,174.77000427246094,174.9600067138672,173.4199981689453,174.44000244140625,5052905,-0.003,-0.33,-0.19,174.704500579834,184.8379998779297,216.17005683898927,176.5616629466749,177.7468277035263,-2.163011893457508,-2.9657263533002256,0.8027144598427176,18.021430133033046,42.53968510053793,31.525498539640065,49.20416937847605,-68.47450146035993,178.89264735907,174.704500579834,170.51635380059798,4.794549385202778,3.617664653819521,-220563720,17932628.2,-1,Weak Sell,Neutral
