Date,Ticker,Sector,Open,High,Low,Close,Volume,Daily_Return,Price_Change,Price_Change_Pct,SMA_20,SMA_50,SMA_200,EMA_20,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,RSI,Stoch_K,Stoch_D,Williams_R,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,OBV,Volume_SMA_20,Signal_Score,Signal,RSI_Signal
2026-02-12,HDFCBANK.NS,Banking,911.9174149760892,913.4913584500406,903.5557126812706,905.6215209960938,33872203,-0.007,-6.3,-0.69,916.4769805908203,945.9436193847656,,922.2810019306343,925.7480244908854,-7.056933223319902,-8.0760751955671,1.0191419722471977,22.87259396361676,36.47538852871062,17.5280585658727,24.381995196569296,-82.4719414341273,936.1155638563029,916.4769805908203,896.8383973253377,4.285668637923075,15.447989544377597,-295376839,31516667.9,0,Neutral,Neutral
2026-02-13,HDFCBANK.NS,Banking,898.1451529282086,913.097855324917,886.3403973585059,889.1932373046875,50188359,-0.0181,-8.95,-1.0,915.4170104980469,944.0430541992188,,919.1297862519726,923.040262477093,-8.887302588431794,-8.23832067414004,-0.6489819142917543,22.539732168763898,30.034096566426726,3.118304732162102,15.159258543073152,-96.8816952678379,938.2786922755702,915.4170104980469,892.5553287205237,4.994812531413413,16.255808717379985,-345565198,34026085.85,-1,Weak Sell,Neutral
2026-02-16,HDFCBANK.NS,Banking,889.1932346170704,914.3766890728148,887.4224732532938,910.7368774414062,18806989,0.0242,21.54,2.42,915.1563201904297,942.6382873535156,,918.3304616033472,922.1289006225977,-8.501491879668038,-8.29095491524564,-0.21053696442239733,22.132447535193755,44.000093325396946,26.666641215687935,15.771001504574237,-73.33335878431207,938.1064492454427,915.1563201904297,892.2061911354167,5.015564783563412,17.0199806532472,-326758209,33077423.55,-2,Sell,Neutral
2026-02-17,HDFCBANK.NS,Banking,907.9824677389611,912.9994649414832,903.6540332583628,910.6385498046875,22599629,-0.0001,2.66,0.29,915.0481079101562,941.1115393066407,,917.5978985749034,921.2777635249747,-8.110179234082352,-8.254799779012984,0.14462054493063192,21.75425466116434,43.95696581424918,26.559163915640735,18.781369954496913,-73.44083608435928,938.0619258925061,915.0481079101562,892.0342899278063,5.030078262204223,16.471798583952427,-349357838,32297807.9,0,Neutral,Neutral
2026-02-18,HDFCBANK.NS,Banking,908.1792516728873,910.4418179261975,904.5886143276533,909.6548461914062,12738702,-0.0011,1.48,0.16,914.7283966064454,939.569052734375,,916.8414173955227,920.4168066854512,-7.789643640633585,-8.161768551337104,0.37212491070351916,21.40307556385131,43.49762012666641,25.48392391262353,26.236576347984055,-74.51607608737648,937.8550916863536,914.7283966064454,891.6017015265371,5.056516265528886,15.727379790601123,-362096540,31133606.65,0,Neutral,Neutral
2026-02-19,HDFCBANK.NS,Banking,913.8848827326366,914.0816406792112,897.6041683586819,900.702880859375,21209234,-0.0098,-13.18,-1.44,914.4947631835937,937.9655737304688,,915.3044139158897,918.9565158835196,-8.163857790308612,-8.162186399131407,-0.0016713911772043843,21.513582692481414,39.45677394858195,15.69895301217491,22.58068028014638,-84.3010469878251,938.0844548925174,914.4947631835937,890.90507147467,5.159065455290722,15.780957828453134,-383305774,30555725.65,-2,Sell,Neutral
2026-02-20,HDFCBANK.NS,Banking,896.1777087970013,902.9162328649714,893.6200357305538,897.0138549804688,22654907,-0.0041,0.84,0.09,914.1578338623046,936.4319384765626,,913.56245592204,917.3311335944048,-8.658291364692673,-8.261407392243662,-0.39688397244901097,21.85395619410044,37.89448684982868,11.66665289289943,17.616509939232614,-88.33334710710058,938.5311061977852,914.1578338623046,889.7845615268241,5.332399161861104,15.317760636022028,-405960681,29466233.25,-2,Sell,Neutral
2026-02-23,HDFCBANK.NS,Banking,901.5882362795462,910.5893867142319,900.3585742006053,908.5726928710938,23270122,0.0129,6.98,0.77,914.5267333984375,934.9228967285156,,913.0872403933786,916.6823602074929,-8.024925571414315,-8.214111028077793,0.18918545666347875,21.428273527121288,45.21420554397587,40.213506511292834,22.526370805455713,-59.786493488707166,938.3204775359329,914.5267333984375,890.7329892609421,5.20350980863652,15.193315714432105,-382690559,29080477.0,0,Neutral,Neutral
2026-02-24,HDFCBANK.NS,Banking,912.8519465614362,912.8519465614362,894.3578410316289,895.6858520507812,31313985,-0.0142,-17.17,-1.88,913.7446655273437,933.1325085449218,,911.4299653131311,915.1270633069958,-8.465256760962916,-8.26434017465482,-0.2009165863080966,21.422114609783694,39.609186033035066,17.25708428221985,23.045747895470697,-82.74291571778014,938.897083120521,913.7446655273437,888.5922479341665,5.505349260487595,15.42908641553033,-414004544,28408521.6,-2,Sell,Neutral
2026-02-25,HDFCBANK.NS,Banking,895.7350222932594,901.0963609031212,888.4062243801156,892.8330078125,27884303,-0.0032,-2.9,-0.32,912.5100830078125,931.3913073730469,,909.6588265035472,913.475651788885,-8.941352740318735,-8.399742687787603,-0.5416100525311318,21.779943916684765,38.472173563955614,13.46937322520218,23.646654672904944,-86.53062677479782,939.1774629230237,912.5100830078125,885.8427030926013,5.844840602157573,15.233447137492846,-441888847,28035379.85,-2,Sell,Neutral
